Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-03-28,188.95,189.559,187.53,188.72,20780363,0,1,188.95,189.559,187.53,188.72,20780363
2019-03-27,188.75,189.76,186.55,188.47,29848427,0,1,188.75,189.76,186.55,188.47,29848427
2019-03-26,191.664,192.88,184.58,186.79,49800538,0,1,191.664,192.88,184.58,186.79,49800538
2019-03-25,191.51,191.98,186.6,188.74,43845293,0,1,191.51,191.98,186.6,188.74,43845293
2019-03-22,195.34,197.69,190.78,191.05,42407666,0,1,195.34,197.69,190.78,191.05,42407666
2019-03-21,190.02,196.33,189.81,195.09,51034237,0,1,190.02,196.33,189.81,195.09,51034237
2019-03-20,186.23,189.49,184.73,188.16,31035231,0,1,186.23,189.49,184.73,188.16,31035231
2019-03-19,188.35,188.99,185.92,186.53,31646369,0,1,188.35,188.99,185.92,186.53,31646369
2019-03-18,185.8,188.39,185.79,188.02,26219832,0,1,185.8,188.39,185.79,188.02,26219832
2019-03-15,184.85,187.33,183.74,186.12,39042912,0,1,184.85,187.33,183.74,186.12,39042912
2019-03-14,183.9,184.1,182.56,183.73,23579508,0,1,183.9,184.1,182.56,183.73,23579508
2019-03-13,182.25,183.3,180.92,181.71,31032524,0,1,182.25,183.3,180.92,181.71,31032524
2019-03-12,180,182.67,179.37,180.91,32467584,0,1,180,182.67,179.37,180.91,32467584
2019-03-11,175.49,179.12,175.35,178.9,32011034,0,1,175.49,179.12,175.35,178.9,32011034
2019-03-08,170.32,173.07,169.5,172.91,23999358,0,1,170.32,173.07,169.5,172.91,23999358
2019-03-07,173.87,174.44,172.02,172.5,24796374,0,1,173.87,174.44,172.02,172.5,24796374
2019-03-06,174.67,175.49,173.94,174.52,20810384,0,1,174.67,175.49,173.94,174.52,20810384
2019-03-05,175.94,176,174.54,175.53,19737419,0,1,175.94,176,174.54,175.53,19737419
2019-03-04,175.69,177.75,173.97,175.85,27436203,0,1,175.69,177.75,173.97,175.85,27436203
2019-03-01,174.28,175.15,172.89,174.97,25886167,0,1,174.28,175.15,172.89,174.97,25886167
2019-02-28,174.32,174.91,172.92,173.15,28215416,0,1,174.32,174.91,172.92,173.15,28215416
2019-02-27,173.21,175,172.73,174.87,27835389,0,1,173.21,175,172.73,174.87,27835389
2019-02-26,173.71,175.3,173.1732,174.33,17070211,0,1,173.71,175.3,173.1732,174.33,17070211
2019-02-25,174.16,175.87,173.95,174.23,21873358,0,1,174.16,175.87,173.95,174.23,21873358
2019-02-22,171.58,173,171.38,172.97,18913154,0,1,171.58,173,171.38,172.97,18913154
2019-02-21,171.8,172.37,170.3,171.06,17249670,0,1,171.8,172.37,170.3,171.06,17249670
2019-02-20,171.19,173.32,170.99,172.03,26114362,0,1,171.19,173.32,170.99,172.03,26114362
2019-02-19,169.71,171.44,169.49,170.93,18972826,0,1,169.71,171.44,169.49,170.93,18972826
2019-02-15,171.25,171.7,169.75,170.42,24626814,0,1,171.25,171.7,169.75,170.42,24626814
